instrument,asset_class,direction,setup_type,call_type,timestamp,entry,stoploss,target,rr,rr_tier,outcome,exit_price,r_multiple
USDJPY,FOREX,LONG,BOS-OB-Retest,FX-LONDON-OPEN,2026-06-22T14:05:00+05:30,161.75,161.72,161.81,2.43,1:2,LOST,161.72,-1.0
USDJPY,FOREX,LONG,BOS-OB-Retest,FX-LONDON-OPEN,2026-06-22T14:05:00+05:30,161.75,161.72,161.81,2.41,1:2,LOST,161.72,-1.0
USDJPY,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-29T19:25:00+05:30,161.95,161.87,162.19,3.0,1:3,LOST,161.87,-1.0
USDJPY,FOREX,SHORT,Liquidity-Sweep,FX-LONDON-OPEN,2026-07-01T13:00:00+05:30,162.65,162.72,162.58,1.07,1:1,LOST,162.72,-1.0
USDJPY,FOREX,SHORT,Liquidity-Sweep,FX-LONDON-OPEN,2026-07-01T13:00:00+05:30,162.65,162.72,162.58,1.06,1:1,LOST,162.72,-1.0
GBPJPY,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-05-20T19:40:00+05:30,213.05,212.98,213.14,1.26,1:1,WON,213.14,1.29
GBPJPY,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-05-25T18:20:00+05:30,214.54,214.52,214.6,4.04,1:4,LOST,214.52,-1.0
GBPJPY,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-05-25T18:30:00+05:30,214.53,214.52,214.6,4.59,1:5,LOST,214.52,-1.0
GBPJPY,FOREX,LONG,BOS-OB-Retest,FX-LONDON-OPEN,2026-06-01T12:45:00+05:30,214.69,214.62,214.88,2.62,1:3,LOST,214.62,-1.0
GBPJPY,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-02T19:30:00+05:30,215.25,215.22,215.32,2.0,1:2,WON,215.32,2.33
GBPJPY,FOREX,SHORT,Liquidity-Sweep,FX-OVERLAP,2026-06-15T21:10:00+05:30,215.07,215.1,215.02,1.44,1:1,LOST,215.1,-1.0
AUDUSD,FOREX,LONG,BOS-OB-Retest,FX-LONDON-OPEN,2026-05-18T13:20:00+05:30,0.7151,0.7148,0.7154,1.47,1:1,WON,0.7154,1.0
AUDUSD,FOREX,SHORT,Liquidity-Sweep,FX-OVERLAP,2026-05-21T21:40:00+05:30,0.7137,0.7139,0.713,2.85,1:3,LOST,0.7139,-1.0
AUDUSD,FOREX,SHORT,Liquidity-Sweep,FX-OVERLAP,2026-05-21T21:40:00+05:30,0.7137,0.7139,0.713,2.87,1:3,LOST,0.7139,-1.0
AUDUSD,FOREX,SHORT,Liquidity-Sweep,FX-OVERLAP,2026-06-08T21:00:00+05:30,0.7054,0.7056,0.7048,2.7,1:3,LOST,0.7056,-1.0
AUDUSD,FOREX,SHORT,Liquidity-Sweep,FX-OVERLAP,2026-06-08T21:00:00+05:30,0.7054,0.7056,0.7048,2.76,1:3,LOST,0.7056,-1.0
AUDUSD,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-06-17T20:30:00+05:30,0.707,0.7068,0.7072,1.13,1:1,WON,0.7072,1.0
AUDUSD,FOREX,LONG,Liquidity-Sweep,FX-LONDON-OPEN,2026-06-30T13:40:00+05:30,0.6882,0.688,0.6886,1.62,1:2,LOST,0.688,-1.0
AUDUSD,FOREX,LONG,Liquidity-Sweep,FX-LONDON-OPEN,2026-06-30T13:50:00+05:30,0.6882,0.6879,0.6886,1.18,1:1,LOST,0.6879,-1.0
USDCAD,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-05-13T19:55:00+05:30,1.3697,1.3693,1.3704,1.47,1:1,LOST,1.3693,-1.0
USDCAD,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-05-13T19:55:00+05:30,1.3697,1.3693,1.3704,1.45,1:1,LOST,1.3693,-1.0
USDCAD,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-11T20:45:00+05:30,1.4004,1.4002,1.4024,12.24,1:12,LOST,1.4002,-1.0
USDCAD,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-11T20:45:00+05:30,1.4004,1.4002,1.4024,11.39,1:11,LOST,1.4002,-1.0
USDCAD,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-19T18:30:00+05:30,1.416,1.4147,1.4201,3.0,1:3,LOST,1.4147,-1.0
USDCAD,FOREX,LONG,BOS-OB-Retest,FX-LONDON-OPEN,2026-06-23T13:00:00+05:30,1.4173,1.417,1.4178,2.0,1:2,LOST,1.417,-1.0
USDCAD,FOREX,LONG,BOS-OB-Retest,FX-OVERLAP,2026-06-23T20:15:00+05:30,1.4194,1.4172,1.4263,3.0,1:3,LOST,1.4172,-1.0
XAUUSD,FOREX,SHORT,Liquidity-Sweep,FX-LONDON-OPEN,2026-05-13T13:05:00+05:30,4711.2,4717.57,4702.2,1.41,1:1,WON,4702.2,1.41
XAUUSD,FOREX,SHORT,Liquidity-Sweep,FX-LONDON-OPEN,2026-05-13T13:20:00+05:30,4709.9,4714.48,4702.2,1.68,1:2,WON,4702.2,1.68
XAUUSD,FOREX,LONG,Liquidity-Sweep,FX-LONDON-OPEN,2026-05-20T13:05:00+05:30,4482.7,4473.27,4512.0,3.11,1:3,LOST,4473.27,-1.0
XAUUSD,FOREX,LONG,Liquidity-Sweep,FX-LONDON-OPEN,2026-05-20T14:20:00+05:30,4492.0,4477.81,4512.0,1.41,1:1,LOST,4477.81,-1.0
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-11T18:45:00+05:30,4093.7,4107.72,4073.4,1.45,1:1,LOST,4107.72,-1.0
XAUUSD,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-06-12T18:45:00+05:30,4223.1,4221.71,4226.7,2.6,1:3,WON,4226.7,2.59
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-12T19:40:00+05:30,4214.1,4229.32,4195.5,1.22,1:1,LOST,4229.32,-1.0
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-18T18:00:00+05:30,4268.8,4270.35,4259.9,5.74,1:6,LOST,4270.35,-1.0
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-23T19:05:00+05:30,4136.8,4138.33,4135.2,1.05,1:1,LOST,4138.33,-1.0
XAUUSD,FOREX,LONG,Liquidity-Sweep,FX-OVERLAP,2026-06-23T20:30:00+05:30,4151.4,4149.33,4158.8,3.57,1:4,LOST,4149.33,-1.0
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-24T19:30:00+05:30,4041.7,4074.72,3982.4,1.8,1:2,WON,3982.4,1.8
XAUUSD,FOREX,SHORT,BOS-OB-Retest,FX-OVERLAP,2026-06-24T20:10:00+05:30,4033.2,4037.75,3980.3,11.63,1:12,LOST,4037.75,-1.0
XAUUSD,FOREX,LONG,Liquidity-Sweep,FX-LONDON-OPEN,2026-06-29T13:30:00+05:30,4077.1,4069.62,4084.8,1.03,1:1,LOST,4069.62,-1.0
